28.3477,0.2991,-1.4908,0.006253
27.8791,0.2992,-1.4839,0.008361
27.3322,0.2992,-1.4794,0.010822
26.7851,0.2992,-1.4756,0.013297
26.3159,0.2992,-1.4729,0.015402
25.8074,0.2991,-1.4710,0.017686
25.3770,0.2992,-1.4703,0.019635
24.8291,0.2992,-1.4706,0.022089
24.3984,0.2992,-1.4717,0.024030
23.8893,0.2992,-1.4738,0.026327
23.5759,0.2992,-1.4753,0.027729
23.1057,0.2992,-1.4779,0.029843
22.6353,0.2992,-1.4807,0.031957
22.1649,0.2992,-1.4837,0.034067
21.6551,0.2992,-1.4872,0.036350
21.2236,0.2992,-1.4903,0.038281
20.7136,0.2992,-1.4942,0.040560
20.1642,0.2992,-1.4984,0.043009
19.7325,0.2992,-1.5018,0.044929
19.2614,0.2992,-1.5056,0.047017
18.6723,0.2992,-1.5104,0.049616
18.1628,0.2991,-1.5147,0.051851
17.7336,0.2991,-1.5183,0.053725
17.2288,0.2991,-1.5231,0.055914
16.8039,0.2991,-1.5287,0.057745
16.3043,0.2991,-1.5381,0.059877
15.7696,0.2991,-1.5528,0.062138
15.3520,0.2991,-1.5684,0.063885
14.8991,0.2991,-1.5904,0.065758
14.4490,0.2991,-1.6184,0.067609
14.0021,0.2991,-1.6533,0.069470
13.4851,0.2991,-1.7040,0.071478
13.0827,0.2991,-1.7524,0.073066
12.6118,0.2990,-1.8200,0.074892
12.2180,0.2990,-1.8869,0.076403
11.7584,0.2990,-1.9777,0.078141
11.3750,0.2990,-2.0651,0.079574
10.9630,0.2990,-2.1715,0.081090
10.4912,0.2990,-2.3106,0.082810
10.1278,0.2990,-2.4312,0.084107
9.7401,0.2990,-2.5737,0.085482
9.3077,0.2987,-2.7484,0.086992
9.0148,0.2985,-2.8764,0.088007
8.6538,0.2985,-3.0473,0.089240
8.3149,0.2995,-3.2264,0.090394
8.0688,0.3006,-3.3703,0.091239
7.7651,0.3016,-3.5663,0.092293
7.4773,0.3009,-3.7732,0.093309
7.2665,0.2993,-3.9398,0.094063
7.0262,0.2978,-4.1494,0.094950
6.7818,0.2986,-4.3881,0.095874
6.5863,0.2995,-4.5975,0.096655
6.3842,0.2996,-4.8321,0.097477
6.1792,0.2988,-5.0931,0.098355
6.0188,0.2984,-5.3189,0.099062
5.8584,0.2986,-5.5689,0.099820
5.7134,0.2988,-5.8220,0.100569
5.5938,0.2988,-6.0563,0.101215
5.4867,0.2987,-6.2925,0.101862
5.3835,0.2987,-6.5523,0.102553
5.3008,0.2988,-6.7920,0.103177
5.2230,0.2989,-7.0547,0.103833
5.1485,0.2989,-7.3620,0.104588
5.1025,0.2988,-7.6039,0.105157
5.0678,0.2988,-7.8461,0.105759
5.0403,0.2988,-8.1545,0.106499
5.0320,0.2988,-8.3746,0.107019
5.0345,0.2988,-8.6383,0.107638
5.0524,0.2988,-8.9231,0.108302
5.0766,0.2989,-9.1413,0.108804
5.1174,0.2989,-9.4020,0.109396
5.1761,0.2989,-9.6821,0.110062
5.2255,0.2989,-9.8742,0.110538
5.3024,0.2989,-10.1271,0.111159
5.4001,0.2988,-10.3959,0.111839
5.4763,0.2988,-10.5782,0.112306
5.5790,0.2988,-10.7963,0.112859
5.7027,0.2988,-11.0278,0.113466
5.8265,0.2988,-11.2337,0.114006
5.9726,0.2988,-11.4512,0.114610
6.1433,0.2989,-11.6781,0.115318
6.3120,0.2989,-11.8788,0.115960
6.4908,0.2989,-12.0708,0.116602
6.6472,0.2989,-12.2234,0.117136
6.8433,0.2988,-12.3973,0.117773
7.0654,0.2988,-12.5735,0.118457
7.2607,0.2988,-12.7121,0.119038
7.4624,0.2988,-12.8408,0.119642
7.6317,0.2988,-12.9386,0.120162
7.8827,0.2988,-13.0676,0.120906
8.0805,0.2989,-13.1569,0.121491
8.3228,0.2989,-13.2524,0.122180
8.5491,0.2989,-13.3287,0.122810
8.7997,0.2989,-13.3993,0.123499
9.0324,0.2989,-13.4523,0.124143
9.3100,0.2988,-13.5001,0.124931
9.5034,0.2988,-13.5236,0.125501
9.7406,0.2988,-13.5417,0.126195
10.0216,0.2988,-13.5474,0.127011
